id_correspondance,old_artisan_url,new_artisan_url,count_old,count_new,count_sum,,new actif
15062,etablissements_zanotti-filleule_sarl,etablissements_zanotti_filleule_sarl,1,,1,,1
15063,alem_francois_a.f.p.s.,alem_francois_a_f_p_s,14,,14,,1
15064,rougelin_plom._chauf.,rougelin_plom_chauf,1,,1,,1
15065,guillon_p._et_f._sarl,guillon_p_f_sarl,5,,5,,1
15066,a-r_renov,a_r_renov,39,,39,,1
15067,le_carre__le_gall,le_carre_le_gall,2,,2,,1
15068,le_bihan_daniel_et_fils,le_bihan_daniel_fils,2,,2,,1
15069,blot_jean-marc,blot_jean_marc,3,,3,,1
15070,techni-gaz_22,techni_gaz_22,6,,6,,1
15071,eau_et_energies_d_arguenon_sarl,eau_energies_d_arguenon_sarl,2,,2,,1
15072,wins_jean-francois,wins_jean_francois,1,,1,,1
15073,d.paroton_s.a.s,d_paroton_s_a_s,17,,17,,1
15074,lachaud_d_et_j,lachaud_d_j,,,0,,1
15075,bonnin_jean-francois,bonnin_jean_francois,7,,7,,1
15076,sani-chauf_2000_sarl,sani_chauf_2000_sarl,3,,3,,1
15077,lambert_et_fils_ets,lambert_fils_ets,,,0,,1
15078,p.e.c.c_energie,p_e_c_c_energie,,,0,,1
15079,thermique-service_sarl,thermique_service_sarl,1,,1,,1
15080,tremouille_et_fils_sarl,tremouille_fils_sarl,2,,2,,1
15081,s.i.d.e.e.c.,s_i_d_e_e_c,2,,2,,1
15082,sarl_a.laurino,sarl_a_laurino,,,0,,1
15083,coudray_serge_-_di_24,coudray_serge_di_24,7,,7,,1
15084,peuch_j.p.c.,peuch_j_p_c,1,,1,,1
15085,grammont_ets-,grammont_ets,1,,1,,1
15086,at_home_service_-_assistance_technique_home_service,at_home_service_assistance_technique_home_service,4,,4,,1
15087,e.i.m.i.,e_i_m_i,5,,5,,1
15088,home_energie_-_sylvio_lucido,home_energie_sylvio_lucido,29,,29,,1
15089,bernardot_jean-francois,bernardot_jean_francois,20,,20,,1
15090,aero_plomberie_-_mohamed_enajjar,aero_plomberie_mohamed_enajjar,42,,42,,1
15091,bertrand_dominique_-s.c.s.,bertrand_dominique_s_c_s,3,,3,,1
15092,guillaumot_et_cie_sarl,guillaumot_cie_sarl,1,,1,,1
15093,besancon_technic_gaz_b.t.g,besancon_technic_gaz_b_t_g,71,,71,,1
15094,angonin_jean-louis_ent-,angonin_jean_louis_ent,16,2,18,,1
15095,chene_entreprise_s.a.s,chene_entreprise_s_a_s,17,,17,,1
15096,brico_sens_sarl_-_graizely_fils,brico_sens_sarl_graizely_fils,2,,2,,1
15097,sindt_sarl_ets-,sindt_sarl_ets,,,0,,1
15098,entreprise_franc-comtoise_d_equipement,entreprise_franc_comtoise_d_equipement,,,0,,1
15099,sani-confort-gaz_-_ets_cuenin,sani_confort_gaz_ets_cuenin,16,,16,,1
15100,m.t._plomberie,m_t_plomberie,,,0,,1
15101,e.c.a.s.,e_c_a_s,9,,9,,1
15102,pb_2_plus_plomberie,pb_2_plomberie,,,0,,1
15103,e.e.n.r,e_e_n_r,2,,2,,1
15104,sietra_-_provence,sietra_provence,2,,2,,1
15105,garanka_sud_est_-_serenys,garanka_sud_est_serenys,12,,12,,1
15106,moulin-rambert,moulin_rambert,,,0,,1
15107,artisans_eco-energie,artisans_eco_energie,43,1,44,,1
